description success
derroids_1_1 1
derroids_1_2 0
derroids_1_3 1
derroids_1_4 0
derroids_1_5 0
derroids_1_6 1
derroids_1_7 0
derroids_1_8 0
derroids_1_9 0
derroids_1_10 0
derroids_1_11 0
derroids_1_12 0
derroids_1_13 1
derroids_1_14 1
derroids_2_1 0
derroids_2_2 0
derroids_2_3 0
derroids_2_4 0
derroids_2_5 0
derroids_2_6 0
derroids_2_7 0
derroids_2_8 0
derroids_2_9 0
derroids_2_10 1
derroids_2_11 0
derroids_2_12 1
derroids_2_13 1
derroids_2_14 0
derroids_2_15 0
derroids_2_16 1
derroids_2_17 1
derroids_2_18 1
derroids_2_19 0
derroids_2_20 0
derroids_2_21 0
derroids_3_1027 0
derroids_3_1029 0
derroids_3_1049 0
derroids_3_1061 1
derroids_3_1109 1
derroids_3_111 0
derroids_3_212 1
derroids_3_220 1
derroids_3_271 0
derroids_3_297 0
derroids_3_337 0
derroids_3_598 0
derroids_3_601 0
derroids_3_633 1
derroids_3_636 0
derroids_3_840 0
derroids_3_87 0
derroids_3_881 0
derroids_3_904 1
derroids_3_946 0
derroids_3_972 1
derroids_3_1102 1
derroids_3_1108 0
derroids_3_1139 1
derroids_3_114 1
derroids_3_1173 0
derroids_3_261 1
derroids_3_342 0
derroids_3_345 0
derroids_3_413 1
derroids_3_439 1
derroids_3_561 0
derroids_3_562 0
derroids_3_565 0
derroids_3_663 0
derroids_3_68 0
derroids_3_707 0
derroids_3_770 1
derroids_3_891 1
derroids_3_936 1
derroids_3_939 0
derroids_3_944 0
KT_T17_1 1
KT_T17_2 0
KT_T17_3 0
KT_T17_4 1
KT_T17_5 0
KT_T17_6 0
KT_T17_7 0
KT_T25_1 0
KT_T25_2 0
KT_T25_3 0
KT_T25_4 1
KT_T25_5 0
KT_T25_6 0
KT_T25_7 0
KT_T25_8 0
KT_T25_9 0
KT_T25_10 1
KT_T25_11 0
KT_T25_12 0
KT_T25_13 0
KT_T25_14 0
KT_T25_15 0
KT_T25_16 0
KT_T25_17 0
