description success
derroids_1_1_0001 1
derroids_1_2_0001 0
derroids_1_3_0001 1
derroids_1_4_0001 0
derroids_1_5_0001 0
derroids_1_6_0001 1
derroids_1_7_0001 0
derroids_1_8_0001 0
derroids_1_9_0001 0
derroids_1_10_0001 0
derroids_1_11_0001 0
derroids_1_12_0001 0
derroids_1_13_0001 1
derroids_1_14_0001 1
derroids_2_1_0001 0
derroids_2_2_0001 0
derroids_2_3_0001 0
derroids_2_4_0001 0
derroids_2_5_0001 0
derroids_2_6_0001 0
derroids_2_7_0001 0
derroids_2_8_0001 0
derroids_2_9_0001 0
derroids_2_10_0001 1
derroids_2_11_0001 0
derroids_2_12_0001 1
derroids_2_13_0001 1
derroids_2_14_0001 0
derroids_2_15_0001 0
derroids_2_16_0001 1
derroids_2_17_0001 1
derroids_2_18_0001 1
derroids_2_19_0001 0
derroids_2_20_0001 0
derroids_2_21_0001 0
derroids_3_1027_0001 0
derroids_3_1029_0001 0
derroids_3_1049_0001 0
derroids_3_1061_0001 1
derroids_3_1109_0001 1
derroids_3_111_0001 0
derroids_3_212_0001 1
derroids_3_220_0001 1
derroids_3_271_0001 0
derroids_3_297_0001 0
derroids_3_337_0001 0
derroids_3_598_0001 0
derroids_3_601_0001 0
derroids_3_633_0001 1
derroids_3_636_0001 0
derroids_3_840_0001 0
derroids_3_87_0001 0
derroids_3_881_0001 0
derroids_3_904_0001 1
derroids_3_946_0001 0
derroids_3_972_0001 1
derroids_3_1102_0001 1
derroids_3_1108_0001 0
derroids_3_1139_0001 1
derroids_3_114_0001 1
derroids_3_1173_0001 0
derroids_3_261_0001 1
derroids_3_342_0001 0
derroids_3_345_0001 0
derroids_3_413_0001 1
derroids_3_439_0001 1
derroids_3_561_0001 0
derroids_3_562_0001 0
derroids_3_565_0001 0
derroids_3_663_0001 0
derroids_3_68_0001 0
derroids_3_707_0001 0
derroids_3_770_0001 1
derroids_3_891_0001 1
derroids_3_936_0001 1
derroids_3_939_0001 0
derroids_3_944_0001 0
KT_T17_1_0001 1
KT_T17_2_0001 0
KT_T17_3_0001 0
KT_T17_4_0001 1
KT_T17_5_0001 0
KT_T17_6_0001 0
KT_T17_7_0001 0
KT_T25_1_0001 0
KT_T25_2_0001 0
KT_T25_3_0001 0
KT_T25_4_0001 1
KT_T25_5_0001 0
KT_T25_6_0001 0
KT_T25_7_0001 0
KT_T25_8_0001 0
KT_T25_9_0001 0
KT_T25_10_0001 1
KT_T25_11_0001 0
KT_T25_12_0001 0
KT_T25_13_0001 0
KT_T25_14_0001 0
KT_T25_15_0001 0
KT_T25_16_0001 0
KT_T25_17_0001 0
